Year,Day ,Details ,Type
2000,11/07/18,"United States elections, 2000 ",Presidential
2001,11/06/18,"United States elections, 2001 ",Off-year
2002,11/05/18,"United States elections, 2002 ",Midterm
2003,11/04/18,"United States elections, 2003 ",Off-year
2004,11/02/18,"United States elections, 2004 ",Presidential
2005,11/08/18,"United States elections, 2005 ",Off-year
2006,11/07/18,"United States elections, 2006 ",Midterm
2007,11/06/18,"United States elections, 2007 ",Off-year
2008,11/04/18,"United States elections, 2008 ",Presidential
2009,11/03/18,"United States elections, 2009 ",Off-year
2010,11/02/18,"United States elections, 2010 ",Midterm
2011,11/08/18,"United States elections, 2011 ",Off-year
2012,11/06/18,"United States elections, 2012 ",Presidential
2013,11/05/18,"United States elections, 2013 ",Off-year
2014,11/04/18,"United States elections, 2014 ",Midterm
2015,11/03/18,"United States elections, 2015 ",Off-year
2016,11/08/18,"United States elections, 2016 ",Presidential
2017,11/07/18,"United States elections, 2017 ",Off-year
2018,11/06/18,"United States elections, 2018 ",Midterm
2019,11/05/18,"United States elections, 2019 ",Off-year
2020,11/03/18,"United States elections, 2020 ",Presidential
